grdc_no,wmo_reg,sub_reg,river,station,country,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,x,y
1894200,1,94,"BUZI, RIO",ESTAQUINHA (58415088),MZ,26871.0,35.0,1956,1983,28,26.08254740898489,1976.0,1977.0,2.0,0.0,1956,1983,28,192.158,6.059894688,225.518018979569,34.166667,-19.958333
1894400,1,94,PUNGWE,BUE-MARIA (58414066),MZ,15300.0,60.0,1953,1981,29,6.50239561943874,1976.0,1979.0,4.0,6.25,1953,1981,29,98.445,3.10456152,202.9125176470588,34.18,-19.025278
1894401,1,94,PUNGWE,E.N.102 (58414065),MZ,3170.0,-999.0,1954,1980,27,5.706016125697746,,,,,1954,1980,27,65.321,2.059963056,649.8306170347003,33.25,-18.558333
1491880,1,91,TSANGA,TROUTBECK DAM U/S G/W (63315206),ZW,18.0,-999.0,1964,1990,27,6.550126368997472,,,,,1964,1990,27,0.403,0.012709008,706.056,32.816667,-18.183333
1494310,1,94,"BUZI, RIO",YPRES (63415018),ZW,48.0,-999.0,1975,1990,16,1.168096367950356,,,,,1975,1990,16,1.006,0.031725216,660.942,32.666667,-20.266667
1494300,1,94,CHIPUDZANA,SOUTHDOWN L/F NOTCH (63415016),ZW,67.0,-999.0,1972,1985,14,0.5265374894692502,,,,,1972,1985,14,0.364,0.011479104,171.3299104477612,32.833333,-20.266667
1494311,1,94,"BUZI, RIO",BANGAZAAN G/W (63415015),ZW,27.0,-999.0,1971,1985,15,0,,,,,1971,1985,15,0.189,0.005960304,220.752,32.6,-20.216667
1494100,1,94,NYAHODI,NYARUWA FLUME + G/W (63415007),ZW,131.0,-999.0,1958,1990,33,1.916495550992471,1964.0,1982.0,19.0,3.65296803652968,1958,1990,33,0.561,0.017691696,135.0511145038168,32.8,-19.85
1494110,1,94,ZONUE,HOBOKEN G/W (63415010),ZW,32.0,-999.0,1967,1990,24,8.636836628511967,,,,,1967,1990,24,0.663,0.020908368,653.3865000000001,32.783333,-19.833333
1495801,1,95,ODZI,ODZI GORGE G/W (63422330),ZW,7265.0,-999.0,1981,1990,10,25.34225737754792,,,,,1981,1990,10,23.076,0.7277247360000001,100.1685803165864,32.4,-19.766667
1494120,1,94,NYANYADZI,NYANYADZI DAM U/S (63422320),ZW,151.0,-999.0,1968,1988,21,40,,,,,1968,1988,21,0.231,0.007284816,48.24381456953643,32.666667,-19.766667
1494130,1,94,SHINJA,SHINJA NYANYADZI G/W (63422326),ZW,191.0,-999.0,1970,1978,9,0,,,,,1970,1978,9,0.346,0.010911456,57.12804188481675,32.616667,-19.733333
1495830,1,95,UMTALI,PREMIER ESTATE,ZW,249.0,-999.0,,,,,1964.0,1982.0,19.0,0.0,1964,1982,19,0.49,0.01545264,62.05879518072289,32.55,-18.92
1495800,1,95,ODZI,ODZI BRIDGE CONTROL SECTION (63422361),ZW,2498.0,-999.0,1962,1990,29,4.008995795443434,1962.0,1980.0,19.0,0.0,1962,1990,29,12.105,0.38174328,152.8195676541233,32.416667,-18.916667
1495802,1,95,ODZI,ODZI FALLS FLUME (63422362),ZW,2222.0,-999.0,1978,1990,13,0,,,,,1978,1990,13,11.129,0.350964144,157.9496597659766,32.433333,-18.883333
1494200,1,94,MAPOPO,STAPLEFORD G/W (63414001),ZW,6.0,-999.0,1957,1990,34,33.86708703227412,,,,,1957,1990,34,0.185,0.005834160000000001,972.36,32.85,-18.666667
1494400,1,94,PUNGWE,PUNGWE CAUSEWAY G/W (63414014),ZW,95.0,-999.0,1970,1990,21,15.08555783709788,,,,,1970,1990,21,4.307,0.135825552,1429.742652631579,32.783333,-18.4
